SN,CPU Temp. [C],CPU % Load,Virtual Memory [mB] (%)
0,39.546,25.0,Used: 176.0/925.8 (24.9)
1,40.084,4.7,Used: 176.1/925.8 (24.9)
2,40.084,5.9,Used: 176.1/925.8 (24.9)
3,40.622,12.5,Used: 176.9/925.8 (25.0)
4,40.084,21.2,Used: 177.9/925.8 (25.1)
5,40.084,4.8,Used: 177.8/925.8 (25.1)
6,40.084,11.9,Used: 178.0/925.8 (25.1)
7,40.084,17.6,Used: 177.9/925.8 (25.1)
8,41.16,11.2,Used: 177.9/925.8 (25.1)
9,41.16,20.6,Used: 177.8/925.8 (25.1)
10,41.16,4.8,Used: 177.8/925.8 (25.1)
11,41.16,26.9,Used: 178.1/925.8 (25.2)
12,41.16,8.0,Used: 177.9/925.8 (25.1)
13,40.622,13.5,Used: 178.0/925.8 (25.1)
14,41.16,16.9,Used: 178.1/925.8 (25.2)
15,41.16,10.6,Used: 178.0/925.8 (25.1)
16,41.16,19.6,Used: 178.1/925.8 (25.2)
17,40.622,4.9,Used: 178.0/925.8 (25.1)
18,41.16,15.1,Used: 177.9/925.8 (25.1)
19,41.16,16.7,Used: 177.8/925.8 (25.1)
20,41.16,15.5,Used: 178.2/925.8 (25.2)
21,40.622,15.0,Used: 178.3/925.8 (25.2)
22,41.16,13.1,Used: 178.2/925.8 (25.2)
23,41.698,19.0,Used: 178.1/925.8 (25.2)
24,41.16,4.4,Used: 178.1/925.8 (25.2)
25,41.16,17.3,Used: 178.1/925.8 (25.2)
26,41.698,16.1,Used: 178.0/925.8 (25.2)
27,41.16,13.8,Used: 178.3/925.8 (25.2)
28,41.16,15.5,Used: 178.2/925.8 (25.2)
29,41.16,4.0,Used: 178.0/925.8 (25.2)
30,40.622,4.0,Used: 178.0/925.8 (25.2)
31,41.698,4.4,Used: 178.0/925.8 (25.2)
32,41.16,7.1,Used: 177.2/925.8 (25.1)
